smiles,value,scaffold_train_test_label,random_train_test_label
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,3,train,train
CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,3,train,train
CN(CC(=O)N1CCCC(c2ccccc2)C1CN1CCCC1)c1ccc(Cl)c(Cl)c1,0.75,train,test
CC(C)Oc1ccc(S(=O)(=O)Cc2ccc3c(c2)CCNCC3)cn1,1.6,test,train
O=S(=O)(Cc1ccc2c(c1)CCNCC2)c1ccc(-c2ccc(F)cc2)cc1,0.2,train,train
c1ccc(CCNCCC2c3ccccc3Sc3ccccc32)cc1,0.26,train,test
CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,0.25,train,train
CCN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1,4.346,train,test
c1ccc2c(c1)CC(CCN1CCCC1)=C2Cc1cnccn1,3.385,train,train
C[C@@H](c1ccccn1)c1c(CCN2CCCC2)sc2ccccc12,2.7,train,test
Cc1cc(Nc2cc(C)c(C#N)c(NCCOc3ccccc3)n2)n[nH]1,7.2,train,test
COc1ccccc1CC(c1ccccc1)N1CCNCC1,20,train,train
Cc1cc(Nc2cc(C)c(C#N)c(NCCOc3ccccn3)n2)n[nH]1,29,train,train
N#Cc1c[nH]c2ccc(C3(Cc4ccccc4)CCNC3)cc12,0.8,train,train
O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(F)c1,50,train,train
O=C(Nc1ccc(-c2nnn[nH]2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,31,train,test
N#Cc1ccc(Cl)cc1O[C@H](CCN)c1ccccc1,0.4,train,test
CC(C)N(CCO)Cc1csc(-c2cn(CC3CCOCC3)c3c(Cl)cccc23)n1,97.8,train,train
CCc1cccc2cc(CC(O)CNC(C)(C)C)oc12,4.8,train,train
O=C(C1CCN(c2ccncc2)CC1)N1CC[C@@H](CNS(=O)(=O)/C=C/c2ccc(-c3ccc(Cl)s3)s2)C1,7.97,train,train
CN(C(=O)CCC(=O)Nc1nccs1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,3.4,train,train
CN(C(=O)CCC(=O)Nc1ccccc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,8.6,test,train
COc1ccccc1/C=C/C(=O)c1cccnc1,1.74,train,train
COc1ccc(/C=C/C(=O)c2cccnc2)c(OC)c1OC,8.8,train,train
CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,1.5,train,train
COc1cnc2ccc(=O)n(CCN3CCC(c4nc5cc(C#N)c(C)cc5[nH]4)CC3)c2c1,28,train,train
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc43)cccc2cn1,11,train,train
O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,32,train,test
Cc1cc2ncc3c(n2n1)CN([C@H]1CO[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,59,train,train
CC(C)c1nc(C(=O)NCC2CCN(CC3CCOCC3)CC2)c2ccccn12,7.5,train,test
Cc1cccc(-c2ccc3c(c2)[nH]c(=O)c2nc(-c4c(F)cccc4Cl)[nH]c23)c1,1.6,train,train
CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2,7.8,train,train
COc1cc(N2Cc3cn(-c4cccc(S(C)(=O)=O)c4)nc3[C@H]2C(C)C)cc(C)n1,25.65,test,train
COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(F)ccc21,6.4,train,train
Oc1cccc(-c2ccc3c(-c4ccccc4)c(O)ccc3c2)c1,15.49,train,train
Oc1cccc(-c2ccc3c(-c4cccc(O)c4)c(O)ccc3c2)c1,24.8,train,train
Nc1cccc(-c2c(O)ccc3cc(-c4cccc(O)c4)ccc23)c1,40,train,train
Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc3cc(F)cc(F)c3[nH]2)c2ccc(Cl)cn2)c1,40,train,train
CN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1,6.679,train,test
Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc(C(F)(F)F)cs2)c2ccc(Cl)cn2)c1,40,train,train
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,9.8,train,train
Cc1ccccc1[C@H]1[C@@H]2CN(C3=NC(=O)CO3)C[C@H]2CC[C@@H]1O[C@H](CO)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,61,train,train
CC[C@H](N)C(=O)N[C@H](C#N)Cc1ccc(-c2ccccc2)cc1,12.605,train,train
CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)[C@H]1CCN(C(=O)N2CC[C@@H](NCCCc3ccccc3)C2)C1,2,test,train
CN1CCN(c2cn(S(=O)(=O)c3ccc(F)cc3)c3ccccc23)CC1,26.4,test,train
COc1ncc(F)c(N2Cc3cn(-c4cccc(S(C)(=O)=O)c4)nc3[C@H]2C(C)C)n1,12.71,train,test
O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)CC1c1ccc(F)cc1,44,train,train
CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,18,test,train
O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)CCCC2)cc1,30,train,train
N#Cc1ccc(N[C@@H]2CCN(C(=O)O[C@H]3C4CC5CC3C[C@](C(N)=O)(C5)C4)C2)nc1,25,train,train
N#Cc1cccnc1N[C@H]1CCN(C(=O)O[C@H]2C3CC4CC2C[C@](C(N)=O)(C4)C3)C1,30,train,train
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,10,train,train
CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1c(C#N)ccc2ccccc12,0.05,train,train
N#Cc1ccc(C(=O)NCC(=O)NC(c2ccccc2)c2ccc(Cl)cc2)cc1,4.9,test,test
O=S1(=O)CCC(CNCCCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,1.17,train,test
CC1(C)CCC(NCc2ccc(CN(C[C@H]3Cc4ccccc4CN3)[C@H]3CCCc4cccnc43)cc2)CC1,0.258,train,train
CC(C)(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)CNCC1CCOCC1,1.75,test,train
O=S(=O)(Cc1ccc2c(c1)CCNCC2)c1ccc(-c2ccc(F)c(F)c2)cc1,0.1,train,train
CNCc1cc(=O)oc2cc(OC)ccc12,10,train,train
Nc1ccc(S(=O)(=O)N2CCN(c3ncc(C(O)(C(F)(F)F)C(F)(F)F)cc3-c3cccnc3)CC2)cn1,27,train,test
CC(C)C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.6,train,train
CC(C)c1cc(NC(=O)N[C@H](C)C[C@@H](O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,4.7,train,train
c1ccc(Cn2nnnc2C(c2ccc3occc3c2)N2CCCN(C3CCC3)CC2)cc1,1,train,train
NC/C=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,0.51,train,test
NCC1=C(CN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CCCC1,0.18,train,train
Cc1nc(C)c(CNc2nc(C3CC3)nc(Cl)c2C)s1,8.2,train,train
O=S1(=O)CCC(Oc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1,6.6,train,train
CCC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,20,train,train
CC(C)CC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,0.01,train,train
N=C(Nc1ccccc1)Nc1ccccc1,3.4443,train,train
COc1ccc2[nH]c(SCCCO)nc2c1,4.17,train,train
COc1ccc2[nH]c(SCc3ccc4ccccc4n3)nc2c1,10.5,train,train
CC(C)(C)[C@@H](CO)NCC(=O)N1CCc2ccccc2C1C1CCCCC1,0.068,train,train
CC(C)C[C@@H](CO)NCC(=O)N1CCc2ccccc2C1C1CCCCC1,0.044,train,test
C[C@@H](O)CNCC(=O)N1CCc2ccccc2[C@@H]1C1CCCCC1,1.4,train,test
O=C(CNCC1(O)CCCCC1)N1CCc2ccccc2[C@@H]1C1CCCCC1,0.6,train,train
COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(O)c3)[C@H]2CO)ccc1O,68.1,train,train
Cc1noc([C@H]2C[C@@H]2C(=O)NCc2ccc(-c3cccc(OC(F)(F)F)c3)c3c2CN(C(=O)NC(C)(C)C)CC3)n1,2,train,train
CCC[C@@H](CCO)Nc1nc(N)nc2cc(OC)ccc12,0.6,train,train
COc1ccc(C(=O)NC(C)Cc2ccccn2)cc1OC1CCN(C(C)C)CC1,27.1,train,train
Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1,46.17,train,test
CC1(C)CN2C(CS/C(=N\C3CCCCC3)NC3CCCCC3)=CSC2=N1,0.4,train,test
Nc1ccc(-c2cnc(NC(=O)CN(Cc3ccccc3)C(=O)c3ccncc3)s2)cn1,2.6,train,train
Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc3ccccc3[nH]2)c2ccc(Cl)cn2)c1,40,train,train
Cn1c(N2CCO[C@@H](c3ccccc3F)C2)nc(-c2ccncn2)cc1=O,32.4,train,train
CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)c1ccc(C#N)cn1,0.9,test,train
COc1ccc(Cn2c(N3CCC(n4cc(C)cn4)CC3)nc3ccccc32)cc1,7.319,train,train
CCN(CC)C(=O)c1ccc(C2=CC3(CCCNC3)Oc3ccccc32)cc1,2.2,train,train
CCN(CC)C(=O)c1cc(C2=CC3(CCNCC3)Oc3ccccc32)cs1,5.7,train,train
Fc1ccc(Cn2c(C3CNCCS3)nc3ccccc32)cc1,10.85,train,train
Cc1ccc(C(=O)C2(CCC(C)(C)C)CCNC2)cc1Cl,13,test,train
CC(C)(C)CCC1(C(=O)c2cc3ccccc3s2)CCNC1,12,train,train
O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cnco2)cc1,2.7,test,train
CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1ccccc1Cl,30.5,train,train
Nc1c2c(nc3ccccc13)CCCC2,0.3,train,train
FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,3.95,train,train
Fc1ccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)cc1,2.5,train,train
CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(-c3ccnc(F)c3)cs2)c1,8.7,train,test
O=C(/C=C/c1cc([N+](=O)[O-])ccc1Cl)c1ccc[nH]1,12,test,test
O=C(/C=C/c1cccc(Br)c1)c1ccc[nH]1,14,test,train
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1,4.8,train,train
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-n3cnnc3)cc2)cc1,5,train,test
NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4ccc(C(F)(F)F)cn4)C1)C(C3)C2,11.6,train,train
N#Cc1cccnc1N[C@@H]1CCN(C(=O)O[C@H]2C3CC4CC2C[C@](C(N)=O)(C4)C3)C1,30,train,train
Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,27,train,train
CC(C)N1CCN(c2cccc3c2C[C@H](CN(C)[C@H]2CCCc4cccnc42)NC3)CC1,8.13,train,train
c1ccc2c(c1)CN[C@@H](CN(CC[C@H]1CCCNC1)[C@H]1CCCc3cccnc31)C2,0.11,test,train
CN1CCN(CCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,5.6,train,train
CC(C)N1CCN(CCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,6.65,train,train
Cc1cc(C[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,0.02,test,test
COCCOc1ccn2c(-c3ccc4cccc(O[C@@H]5CCNC[C@@H]5F)c4n3)cnc2c1,5.88,train,train
CCc1ccc(-c2ccc(C(=O)N(C)[C@H]3CCN(C(=O)N4CC[C@@H](NC(C)C)C4)C3)s2)cc1,10,train,train
CN(C)CCN1C(=O)CCc2cc(NC(=N)c3cccs3)ccc21,12.2,test,train
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.8,train,train
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,11,train,train
CC(C)(C)NCC(O)COc1ccccc1,28,train,test
CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccc(O)cc1C#N,0.31,train,train
CS(=O)(=O)N1CCC(Oc2ccc3c(c2)CCN(C2CCC2)CC3)CC1,13,test,train
Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)n(CCO)c12,36,test,train
CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C,1,test,train
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,2.88,train,test
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,18,train,train
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.64,train,train
Cc1c(COc2cccc(OCC3CCOCC3)c2)[nH]c2ccccc2c1=O,8.3,train,train
CC(C)c1c(COc2cccc(OCC3CCOCC3)c2)[nH]c2ccccc2c1=O,12.4,train,test
Cc1c(COc2cccc(OCC3CCOCC3)n2)[nH]c2ccccc2c1=O,7,train,test
CCCCOc1cccc(OCc2[nH]c3ccccc3c(=O)c2C)c1,0.78,train,train
CC(=O)c1cc(NC(=O)N[C@H](C)C[C@@H](O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,7,test,train
CC(C)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,1.6,train,train
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccc1O,5.1,train,train
CC(=O)c1sc(NC(=O)N[C@@H]2CN(C(=O)CN(C)C)CC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,0.5,train,train
CC(=O)c1sc(NC(=O)N[C@@H]2CCN(C(=O)C(C)C)C[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,0.05,train,train
CC(=O)c1sc(NC(=O)N[C@@H]2CCN(C(=O)OC(C)(C)C)C[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,0.57,train,train
c1ccc2c(c1)CN[C@H](CN(CCCN1CCNCC1)[C@H]1CCCc3cccnc31)C2,1.4,train,train
CN(CC(=O)N(C)[C@H](CN1CC[C@H](O)C1)c1ccccc1)c1ccccc1,0.53,train,test
CCc1ccccc1C1(Br)C(=O)c2ccccc2C1=O,83,train,train
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,3.4,train,test
COc1ccc(-c2ccc(C(=O)N(C)[C@H]3CCN(C(=O)N4CC[C@@H](NC5CCC(C)(C)CC5)C4)C3)s2)cc1,5.305935,train,test
CCc1ccc(-c2ccc(C(=O)N(C)[C@H]3CCN(C(=O)N4CC[C@@H](N5CCCCC5)C4)C3)cc2)cc1,10,test,train
CCc1ccc(-c2ccc(C(=O)N(C)[C@H]3CCN(C(=O)N4CC[C@@H](NC5CCOCC5)C4)C3)s2)cc1,5.055935,test,train
CCc1ccc(-c2ccc(C(=O)N(C)[C@H]3CCN(C(=O)N4CC[C@@H](NCC5CCOCC5)C4)C3)s2)cc1,6.30957,train,train
CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)[C@H]1CCN(C(=O)N2CC[C@@H](NCCC(C)(C)c3ccc(Cl)cc3)C2)C1,3.3,test,train
C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-n2ccnn2)cc(-n2ccnn2)c1,0.5,train,train
CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)OC(C)C)NC[C@@H](N)CS,0.7,train,train
CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)s1)[C@H]1CCN(C(=O)N2CC[C@@H](NC3CCC(C)(C)CC3)C2)C1,0.847165,train,train
CS(=O)(=O)N(Cc1ccccc1-c1ccccc1)[C@@H]1CCNC1,5.36,train,train
CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,0.05,train,train
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,10,train,train
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.9465,train,train
O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,6,train,train
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,0.96,test,train
Cn1c(-c2ccccn2)c(C2CCCCC2)c2ccc(C(=O)NC(C)(C)C(=O)Nc3ccc(/C=C/C(=O)O)cc3)cc21,16.6,train,test
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1,train,test
CN(C)C(=O)CN1CCCC(c2nc3ccccc3n2CCOc2ccccc2)C1,8.7,train,train
C[C@@H](OC[C@H](O)CNC(C)(C)Cc1ccc2ccccc2c1)c1ccccc1CCC(=O)O,9.6,test,train
O=C(CNCC1(O)CCCCC1)N1CCc2ccccc2C1C1CCCCC1,0.78,train,train
COc1ccc2c(c1)CCN(C(=O)CNCC1(O)CCCCC1)[C@@H]2C(C)C,2.9,train,train
COc1ccc2c(c1)CCN(C(=O)CNCC1(O)CCCCC1)[C@H]2C(C)C,2,train,test
O=C(Nc1cnc(-c2ccncc2)c(-c2ccco2)n1)C1CC1,5,train,train
Cc1ccc(C(=O)c2nc3ccc(O)cc3s2)cc1O,54,train,train
Cc1cccc(N2CNC(=O)C23CCN(C[C@H](C)NC(=O)c2ccc(Br)cc2)CC3)c1,9.4,test,train
CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(C(F)(F)F)cc2)no1,18,train,train
CN(C)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,12.798,train,train
COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@H]2c2ccc(OC)cc2)cc1,100,train,train
N=C(N)NC(=O)c1ccc(C2CCN(C(=O)C3CC3)CC2)c(C(F)(F)F)c1,17,train,test
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,62.35,train,train
Cc1cc(N[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,1.35,train,test
CC(C)c1csc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,26.5,train,test
CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,6.4,train,test
C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2nccs2)cc(-c2nccs2)c1,0.8,test,train
C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-n2cccn2)cc(-n2cccn2)c1,5.9,train,train
C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(Br)cc(-c2nnnn2C)c1,0.5,train,train
CC(=O)c1cc(NC(=O)N[C@@H](C)C[C@H](O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,16,test,train
Cn1nnnc1-c1cc(NC(=O)NCCCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)(C)C(=O)O)c1,22,train,train
Nc1c(C(=O)NCC(O)(CN(CCO)C(=O)c2c(Cl)cccc2Cl)C(F)(F)F)cnn1-c1ccc(F)cc1,54,train,test
O=C1COc2cc(Cl)c(Cl)cc2N1CC(=O)N1CCCC(c2ccccc2)C1CN1CCCC1,1.6,train,train
Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1,25,train,test
Cc1c(COc2cccc(OCCCC(F)(F)F)c2)[nH]c2ccccc2c1=O,1.4,train,train
C[C@H](c1cccnc1)c1c(CCN(C)C)sc2ccccc12,5.2,train,train
CCc1c(CCCC(=O)O)cccc1-c1cnc(-c2ccc(OC(C)C)c(C#N)c2)nc1,6.30957,train,test
O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)[C@@H]1C[C@@H](Cc2ccc(F)cc2)CN1C(=O)Cn1cncn1,7.367,train,train
CN(C)Cc1ccc(/C=C/c2n[nH]c3cc(/C=C4/C(=O)Nc5ccccc54)ccc23)cc1,8.9,train,train
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.7,train,train
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.3,train,train
O=S(=O)(NC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,30,test,train
O=C(NC1CC2CCC(C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1-c1ccccc1,0.4,train,test
O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1-c1nccs1,2.4,train,train
CNC(=O)c1cccc(-c2ccc(C(CN3CCOCC3)N(C)C(=O)Cn3c(=O)cnc4cc(Cl)c(Cl)cc43)cc2)c1,33,train,train
CCN(CC)C(=O)CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1,1.9,train,test
Cc1cc(-c2csc(-c3cccc(O)c3)c2)ccc1O,1.5,train,train
CN(C)Cc1cc2c([nH]c(=O)c3cccc(O)c32)s1,100,train,train
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)cc3)nc2)cc1,6,train,train
Fc1ccccc1C(Cc1ccccc1OC(F)(F)F)N1CCNCC1,3.5,train,train
CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccccc1OC,0.5,train,train
O=C(Nc1ccc(Cl)cc1)N1CCCC(CCO)(c2ccccc2)C1,10,train,train
CCCC1(C(=O)c2cc(F)c3[nH]ccc3c2)CCNC1,1.55,test,train
CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC(=O)O)cc1)C2=O,42,train,train
Cc1nnc(C(C)C)n1[C@@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCCCC1)c1cccs1,15.1,train,train
CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)[C@H](CS(=O)(=O)c2ccccc2)C1,2.7,train,train
