smiles,value,scaffold_train_test_label
CN1CCC(NC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)CC1,0.414973348,test
Cc1cc(CN(C)C(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)on1,0.431363764,train
COc1ccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)c(OC)c1,1.206825876,train
N#Cc1cccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)c1,0.995635195,train
CS(=O)(=O)Oc1cccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)c1,0.934498451,train
Cc1cccc(C)c1C(=O)NC(c1ccncc1)C12CCC(CC1)N2,1.176091259,train
Cc1ncc(Cn2c(=O)c3cc(S(=O)(=O)NC4(C)CC4)ccc3n(CC3CC3)c2=O)s1,2.204119983,train
CCn1c(=O)n(Cc2nnc(C)s2)c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,1.230448921,train
Cc1c(NC(=O)c2cccc(C#N)c2)cnc2c1c(C1CCN(C(=O)C3CCC3)CC1)cn2C,1.591064607,train
C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,1.556302501,test
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N1CCOCC1,1.204119983,train
Cc1ccccc1NC1CN(S(=O)(=O)c2cn(C)cn2)CC1c1ccccc1,2.962213018,train
Cc1ccc(NC2CN(S(=O)(=O)c3cn(C)cn3)CC2c2ccccc2)cc1,2.544068044,train
Cn1cnc(S(=O)(=O)N2CC(Nc3ccnc(C(F)(F)F)c3)C(c3ccc(F)cc3)C2)c1,1.522835314,train
Cn1cnc(S(=O)(=O)N2C[C@H](Nc3ccc(F)c(OC(F)(F)F)c3)[C@@H](c3ccc(F)cc3)C2)c1,3.33243846,train
CC(C)C1CCNC(=O)C(N(Cc2ccc(C(=O)NC3CC3)cc2)S(=O)(=O)c2ccc(Cl)cc2)C1,1.707570176,train
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N1CCOCC1,1.662757832,train
O=C(Nc1cc(Cl)cc(Cl)c1)N1CCc2sccc2C1c1ccc(C(F)(F)F)cc1,1.067070856,train
O=C(Nc1cc(Cl)cc(Cl)c1)N1CCc2sccc2C1c1ccc(F)c(F)c1,1.124830149,train
COc1ccc(C2c3ccsc3CCN2C(=O)Nc2ccc(Cl)cc2)cc1,1.263162465,train
O=C(Nc1ccc(F)c(OC(F)(F)F)c1)N1CCc2sccc2C1c1ccc(Cl)cc1,1.124830149,train
O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)N1CCc2sccc2C1c1ccc(Cl)cc1,1,test
Cc1ccc(C2c3ccsc3CCN2C(=O)Nc2cc(Cl)cc(Cl)c2)cc1,1.301029996,train
Cc1c(-c2ccc(N3CC[C@H](F)C3)cc2)[nH]c2cc(F)cc(F)c2c1=O,2.295347148,train
Cc1[nH]c2c(N3CCO[C@H](CO)C3)c(C#N)c(C(F)(F)F)nc2c1Cl,1.591064607,train
CC[C@@H]1CN2CC[C@@]3(O)C(=Nc4cccc(OC)c43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,0.568201724,train
CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,2.242860713,test
C[C@@H](NC(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1)c1ccncc1,1.274157849,test
C[C@@H]1CN(c2nc(-c3cnn(C)c3)ncc2C#N)CCN1C(=O)C1CC1,1.322219295,test
O=C(NC1CCS(=O)(=O)CC1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,0.397940009,test
COc1ccc2nc(C3(NC(=O)C[C@H](N)Cc4ccccc4F)CCS(=O)(=O)CC3)sc2c1,1.418301291,train
O=C(O)COc1ccc(Cl)cc1C1CCCCCC1,2.037426498,train
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(F)cc3)C2)n1C,1.568201724,train
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(F)cc3F)C2)n1C,1.72427587,train
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(F)cc3C(F)(F)F)C2)n1C,1.812913357,train
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CCN(C(N)=O)CC1,1.785329835,train
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccccc21,1.851258349,train
O=C1Nc2cccc(n2)-c2nncn2CCCCCOc2ccccc21,1.748188027,train
C[C@@H]1CCCOc2ccccc2C(=O)Nc2cccc(n2)-c2nncn21,1.431363764,train
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2cc(F)ccc21,1.361727836,train
C[C@H]1CCCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn21,1.301029996,train
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(Br)cc21,0.86923172,train
Oc1cccc(C2=Cc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC(CF)C3)cc2)c1,1.079181246,train
Cc1cccc(C)c1C(=O)NC(c1ccccc1)C12CCC(CC1)CN2,1.531478917,train
Cc1cccc(C)c1C(=O)NC(c1ccccc1)C12CCC(CC1)N2C(C)C,1.591064607,train
CCP(=O)(OC)c1ccc2nc(-c3cnc4ccccc4c3)oc2c1,0.991669007,train
COc1ccc(C(=C(F)F)c2cc(OC)c(OC)c(OC)c2)cc1N,1.633468456,train
Cc1ccc(NS(=O)(=O)c2cc(C(=O)NCc3nc(C)no3)ccc2C)cc1,1.477121255,train
CN1CCN(c2ncc(-c3ccc4c(NC5CCCCC5)ccnc4c3)cn2)CC1,2.477121255,train
CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,1.69019608,train
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,2.743509765,test
CNC(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,0.591064607,train
COc1ccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)cc1OC,0.431363764,train
CNCc1cn(CCC(=O)Nc2sc3c(c2C(N)=O)CCCC3)nc1C(F)(F)F,1.949390007,train
CS(=O)(=O)Nc1nnc2cc(OCC34CC5CC(CC(C5)C3)C4)ccn12,1.079181246,train
N[C@H]1CCCN(c2ccccc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,1.913813852,train
N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ccc(F)cc4F)nn23)C1,1.491361694,train
Fc1cccc(F)c1-c1ccc2cnc(Nc3cnccc3N3CCCCC3)n2n1,2.600972896,train
N#Cc1ccc(CC(=O)c2cc3n(n2)CCCC3)nc1,1.662757832,test
CO[C@H]1CN(CC(=O)Nc2ccc(-n3ccccc3=O)cc2F)C[C@@H]1NC(=O)c1ccc(Cl)s1,1.292256071,train
O=C(CN1C[C@H](NC(=O)c2ccc(Cl)s2)[C@@H](F)C1)Nc1ccc(-n2ccccc2=O)cc1F,1.206825876,train
C[C@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,2.008600172,train
CNC(=O)N1CCc2c(c(-c3cccc4cc(-c5cnn(C)c5)c(C(F)F)cc34)nn2C2CCOCC2)C1,1,test
COc1cc2c(cc1-n1cnc3ccc(-c4ccnc5[nH]ccc45)cc31)CNC2,1,train
CC/C(=C\c1ccccc1)[C@@H]1C[C@H]1NC1CC2(C1)CN(CC(F)F)C2,2.123851641,test
CC/C(=C\c1ccccc1)[C@@H]1C[C@H]1NC1CC2(C1)CN(C(C)=O)C2,1.255272505,test
O=C1c2ccc(OCc3cccc(F)c3)nc2CCN1c1ccc(F)cn1,1.255272505,test
O=C1c2ncc(COc3ccccc3)cc2CCN1c1ccc(F)cc1,1.278753601,test
COc1cccc(C(NC(=O)c2cccc(C(F)(F)F)c2Cl)C23CCC(CC2)CN3C)c1,2.008600172,train
O=C(Nc1ccc(N2CCSCC2)nc1)c1nnc(Nc2ccccc2F)o1,2.411619706,train
Fc1ccc2[nH]cc(CN3CCC(F)(F)[C@@H](CCc4ccccc4)C3)c2c1,1.848189117,train
COc1ccc2c(CN3CCC(F)(F)[C@H](CCc4ccc(F)cc4)C3)c[nH]c2c1,2.474216264,train
Fc1ccccc1CC[C@@H]1CN(Cc2c[nH]c3cc(Cl)ccc23)CCC1(F)F,2.193124598,train
COc1nc2ccc(Br)cc2cc1C(c1cccc(C)c1)C(O)(CCN(C)C)c1cccnc1OC,1,train
Cc1cccc(C)c1C(=O)NC(c1ccc(S(=O)(=O)CC2CC2)cc1)C12CCC(CC1)CN2C,2.222716471,test
Cc1c(-c2ccc(N3CCC(F)(F)C3)cc2)[nH]c2cc(F)cc(F)c2c1=O,0.978636948,train
Cc1ccc2[nH]c(C(=O)N[C@H]3Cc4ccccc4[C@@H]3C(=O)N(C)CCN(C)C)cc2c1,1.414973348,train
CCOc1nc(Cl)ccc1C1(N2CCN(c3ccncc3)CC2)C(=O)N(S(=O)(=O)c2ccc(OC)cn2)c2ccc(C#N)cc21,1.591064607,train
COc1ccc(S(=O)(=O)N2C(=O)C(c3cc(OC)ccc3OC)(N3CCN(c4ccncc4)CC3)c3cc(C#N)ccc32)c(OC)c1,1.698970004,train
CCOc1ccc(OC)cc1C1(N2CCN(c3ccncc3)CC2)C(=O)N(S(=O)(=O)c2ccc(OC)cn2)c2ccc(C#N)cc21,1.653212514,train
C=C(c1ccc(OC)c(N)c1)c1cc(OC)c(OC)c(OC)c1,1.662757832,train
Cc1noc(C)c1-c1ccc2c(c1)nc(CCc1ccc(CCCN(C)C)cc1)n2CCN1CCOCC1,2.31386722,train
CCCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,2.477121255,train
O=C1CCC(C(O)CC2c3c(F)cccc3-c3cncn32)CC1,1.307282047,train
C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccccc1CC(F)(F)F,2.120573931,train
C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-c1ncccn1,1.230448921,test
O=C1c2ccc(COc3ccccc3)nc2CCN1c1ccc(F)cc1,1.255272505,train
CNC(=O)c1ccc(-c2cc3cccc(-c4nn(C5CCOCC5)c5c4CN(C(C)=O)CC5)c3cn2)cn1,0.968482949,train
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,1.113943352,train
COc1cc(N2CC(NC(=O)c3cc4c(C)n(C)nc4cn3)C2)c(Cl)cn1,1.447158031,train
Cc1nn(C)c2cnc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cc12,1.447158031,train
COc1nn(C)cc1C(=O)Nc1cccc(-c2cncn2C(C)C)n1,0.954242509,train
COc1nn(-c2cncc(C3CC3)c2)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,1.380211242,train
c1cn2cc(-c3ccc4cn[nH]c4n3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,0.669037801,train
c1cn2cc(-c3ccc4nc[nH]c4n3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,0.452246575,train
c1cn2cc(-c3cnc4nc[nH]c4c3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,0.477121255,train
c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,0.713238462,train
c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CC5(CCOCC5)C4)cc3)c2n1,0.602059991,test
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCN2CCC2)CC1,1.662757832,train
Cc1cn(-c2c(Cl)cccc2Cl)c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc12,1.591064607,train
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1ccc2c(n1)C(F)(F)CC2,1.681241237,train
CC(=O)N1CCC(NC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)CC1,0.397940009,test
Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1,1.531478917,train
CCOCCC1(Oc2ccc(-c3cccc(CNC(=O)c4nc5ccccc5c(=O)[nH]4)c3)cc2)C(=O)NC(=O)NC1=O,1.079181246,train
N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ccccc4Cl)nn23)C1,1.954242509,train
N[C@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,1.176091259,test
C[C@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H]1N,2.113943352,train
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(CC(N)=O)cc1,1.763427994,train
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(F)cc3F)C2)nnc1-c1cccnc1,2.409933123,test
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(=O)n(C)c1,1.612783857,train
CC(C)c1c(-c2ccccc2)[nH]c2c(C#N)cnn2c1=O,0.77815125,train
CCNC(=O)Nc1ccc(-c2nccc([C@]34CCOC[C@H]3C4)n2)cc1,0.176091259,train
N[C@@H](CC(=O)NC1(c2nc3ccccc3s2)CCS(=O)(=O)CC1)Cc1ccccc1F,1.539076099,train
Cc1cc(-c2cnc3cc(-c4ccc(C5COCCN5)cc4)ccn23)c2cc(F)cc(F)c2n1,2.1430148,train
COc1ccc(C2c3ccsc3CCN2C(=O)Nc2cccc(Cl)c2)cc1,1.301029996,train
CCC(C(=O)Nc1ccc(Cl)cc1)N1CCC2(CCOc3cc(C(F)(F)F)ccc32)CC1,1.342422681,train
COc1ccccc1-n1nc2c(c1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,5.06069784,train
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,2.164352856,test
CNC(=O)[C@@H](C)Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12,1.431363764,test
Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC3(N)COC3)c2c1,1.113943352,train
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,2.029383778,train
CC(C)NCC(O)COc1cccc2ccccc12,1.903089987,test
Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1,1.113943352,test
Cc1nc2c(-c3ccccc3S(C)(=O)=O)cnn2c(NCc2ccccn2)c1C,1.870111155,train
COc1ccc2c(c1)NC(=O)CN2c1nc(Cl)nc2cccnc12,1.305351369,train
COc1ccc2c(c1)NC(=O)CN2c1nc(C)nc2c1CCC2,1.113943352,train
O=C(c1cc(C(F)(F)F)no1)N1CCC(c2cc3ncccc3[nH]2)C1,1.873100276,train
COCCOc1ccc2nc(C3(NC(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CCS(=O)(=O)CC3)sc2c1,1.668385917,train
COCCOc1ccc2nc(C3(NC(=O)C[C@H](N)Cc4cc(Cl)ccc4F)CCOCC3)sc2c1,1.534026106,train
O=C(c1ccccc1)N1CCC(O)(c2cc3ncccc3[nH]2)CC1,1.603682519,train
O=C1c2ccccc2CN1CCc1cc2ncccc2[nH]1,1.958208099,train
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1.802773725,train
O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1nnc(-c2ccc(F)cc2)s1,0.944482672,train
Cc1cc(-c2cnc3cc(-c4ccc(C5CNCCN5)cc4)ccn23)c2cc(F)ccc2n1,1.515873844,train
Cc1c(Cc2ccc(OC(C)C)cc2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)nn1C(C)C,-0.070581074,train
O=c1[nH]nc(-c2ccc(Cl)c(C(F)(F)F)c2)s1,0.875061263,train
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(NC5CNC5)c(C)n4)n3)cc12,0.903089987,train
C[C@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@]2(CC1)COc1nc(C(F)(F)F)ccc12,0.204119983,train
CC(C(=O)Nc1ccc(Cl)cc1)N1CCC2(CCc3ccccc32)CC1,2.5132176,train
Cc1ccc(OCCCc2nc3cc(Cl)cnc3[nH]2)cc1Cl,2.517195898,train
Cc1cnc(NC(=O)CCCOc2ccc(Cl)c(C)c2)s1,2.243038049,train
CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.041392685,train
CC[C@H]1Cc2[nH]nc(-c3ccccc3)c2CN1C(=O)Nc1cccc(Cl)c1,1.342422681,train
CC1=C(c2cccnc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.278753601,test
N#Cc1cc(C(=O)NCCCN2CCCC2)cc(-c2ccccc2N2CCN(CCc3ccc(Cl)c(Cl)c3)CC2)c1,1.86332286,train
O=C(Nc1ccc(Oc2ccc(F)cc2)nc1)N1CCc2ncccc2[C@@H]1c1ccc(F)cc1,0.522835314,train
O=C(c1ccc(-c2nc3ccccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,0.84509804,test
O=C1[C@@H](Cc2n[nH]c3ccccc23)c2nnc(-c3ccccc3)n2-c2ccccc2N1CC(=O)N1CCCCC1Cc1ccccc1,5.927370363,train
CC(C)(C)OC(=O)N1CCCC(c2cn3nc(Cl)ccc3n2)C1,2.267547172,train
O=C(NCC1CCC(F)(F)CC1)c1c(Cl)ccc2nc(N3CCC(CCO)C3)ccc12,1.505149978,train
Cc1cc(C(=O)Nc2nc3cccc(C)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1,1.414973348,train
C[C@@H]1CCOc2ccccc2C(=O)Nc2cccc(n2)-c2nncn2C1,1.531478917,train
Cc1cn(-c2ccc3n(c2=O)CCN(CC2CCOc4ccc(C(F)(F)F)cc42)C3=O)cn1,1.575187845,train
Cn1cc2c3c(c[nH]c3c1=O)CN(CC1CC1)c1ccc(CS(C)(=O)=O)cc1-2,2.263233538,train
O=C(CN1CC[C@@H](NC(=O)c2ccc(Cl)s2)C1)Nc1ccc(-n2ccccc2=O)cc1F,1.181843588,train
CCCc1nc(C)c2c(C)nc3scnc3n12,0.602059991,train
Cc1cc(C)cc(C[C@H]2CCCCN2C(=O)CN2C(=O)[C@@H](Cc3n[nH]c4ccccc34)c3nnc(-c4ccccc4)n3-c3ccccc32)c1,6.361727836,train
COc1ccccc1C1(N2CCN(c3cccnc3)CC2)C(=O)N(S(=O)(=O)c2cccc3cccnc23)c2ccc(Cl)cc21,2.556302501,train
CCOc1nc(Cl)ccc1C1(N2CCN(c3ccnc(C)c3)CC2)C(=O)N(S(=O)(=O)c2ccc(OC)cn2)c2ccc(C#N)cc21,0.84509804,train
COC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,-0.113509275,train
CCC1=C(c2cccc(O)c2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.079181246,train
COc1ccc(S(=O)(=O)N2C(=O)C(c3cccnc3OC)(N3CCN(C)C(=O)[C@H]3C)c3cc(Cl)ccc32)c(OC)c1,1.707570176,train
COc1ccc(S(=O)(=O)N2C(=O)C(c3cccnc3OC)(N3CCN(c4cccnc4)CC3)c3cc(Cl)ccc32)c(OC)c1,1.278753601,train
CCOc1ccc(OC)cc1C1(N2CCN(c3ccncc3)CC2)C(=O)N(S(=O)(=O)c2ccc(F)c3cccnc23)c2ccc(C#N)cc21,2.117271296,train
CC[C@@H]1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,1.494154594,train
O=C(Nc1ccnnc1)c1cc(N2C[C@H]3COC[C@H]3C2)ccc1OCc1ccccc1,0.633468456,test
CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)CCC[C@]21C,1.34869419,train
CCNC(=O)c1cc2c(-c3cc(S(C)(=O)=O)ccc3Nc3c(C)cccc3C)cn(C)c(=O)c2[nH]1,2.066959198,test
CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cccc3C)cn(C)c(=O)c2[nH]1,2.790052821,test
CCNC(=O)c1cc2c(-c3cc(NS(=O)(=O)CC)ccc3Oc3c(C)cccc3C)cn(C)c(=O)c2[nH]1,2.263233538,test
CCNC(=O)c1cc2c(-c3cc(NS(=O)(=O)CC)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,2.500606922,test
Cc1cc(F)cc(C)c1Oc1ccc(C(C)(C)O)cc1-c1cn(C)c(=O)c2[nH]c(C(=O)NC3CC3)cc12,2.903089987,train
CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3C)cn2)CC1,2.204119983,train
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(C#N)cc3)c2)cc1,1.146128036,train
